Animal_ID,Admission,Found_Location,Type,Condition,Animal_Type,Admission_Sex,Admission_Age,Breed,Colour,Discharge,DOB,Discharge_Sex,Discharge_Age,binary_outcome,Admission_Spayed/Neutered,Discharge_Spayed/Neutered,Found_Area,Mix/PureBred,Mixed/Single_Color,Time_In_Shelter,Admission_Month
A675014,2014-03-21 14:37:00,512 W Stassney in Austin (TX),Wildlife,Normal,Bat,Unknown,365,Bat,Brown,2014-03-21 15:27:00,2013-03-21 00:00:00,Unknown,365,1.0,Unknown,Unknown,Austin (TX),Purebred,Single colour,0,3
A678589,2014-05-10 14:20:00,207 East Lola in Austin (TX),Stray,Normal,Dog,Male,69,German Shepherd/Pembroke Welsh Corgi,Tricolor/Brown,2014-05-17 12:12:00,2014-03-02 00:00:00,Male,76,0.0,Intact,Neutered,Austin (TX),Purebred,Mixed Colour,6,5
A757196,2017-08-31 12:20:00,Purple Sage Drive in Austin (TX),Stray,Normal,Dog,Female,137,Labrador Retriever Mix,Black,2017-09-21 00:00:00,2017-04-16 00:00:00,Female,158,0.0,Intact,Intact,Austin (TX),Mixed,Single colour,20,8
A728701,2016-06-07 12:26:00,739 W William Cannon Dr in Austin (TX),Stray,Normal,Dog,Male,366,Labrador Retriever Mix,Tan,2016-11-05 17:30:00,2015-06-07 00:00:00,Male,517,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,151,6
A736184,2016-10-06 11:34:00,1905 Bitter Creek Dr in Austin (TX),Stray,Normal,Cat,Male,52,Domestic Shorthair Mix,Brown Tabby/White,2016-10-24 17:56:00,2016-08-15 00:00:00,Male,70,0.0,Intact,Neutered,Austin (TX),Mixed,Mixed Colour,18,10
A620379,2015-01-25 15:59:00,Austin (TX),Owner Surrender,Normal,Dog,Male,1134,Labrador Retriever/German Shepherd,Black/White,2015-01-29 13:02:00,2011-12-18 00:00:00,Male,1138,1.0,Neutered,Neutered,Austin (TX),Purebred,Mixed Colour,3,1
A755577,2017-08-05 11:14:00,Austin (TX),Owner Surrender,Normal,Dog,Male,2192,Rat Terrier Mix,Black/Gray,2017-08-10 00:00:00,2011-08-05 00:00:00,Male,2197,0.0,Neutered,Neutered,Austin (TX),Mixed,Mixed Colour,4,8
A792412,2019-07-25 12:03:00,Austin (TX),Stray,Normal,Dog,Male,836,Pit Bull Mix,Black,2019-08-25 16:34:00,2017-04-10 00:00:00,Male,867,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,31,7
A727319,2016-05-21 09:14:00,8028 Elroy Rd in Travis (TX),Stray,Nursing,Dog,Female,15,Pit Bull Mix,Black Brindle/White,2016-08-03 12:14:00,2016-05-06 00:00:00,Female,89,0.0,Intact,Spayed,Travis (TX),Mixed,Mixed Colour,74,5
A726824,2016-05-15 10:54:00,7201 Levander Loop in Austin (TX),Stray,Sick,Dog,Male,83,Labrador Retriever Mix,White,2016-05-19 18:54:00,2016-02-22 00:00:00,Male,87,0.0,Intact,Intact,Austin (TX),Mixed,Single colour,4,5
A666813,2013-11-07 15:20:00,Austin (TX),Public Assist,Normal,Cat,Female,304,Siamese/Domestic Shorthair,Black,2013-12-27 15:49:00,2013-01-07 00:00:00,Female,354,0.0,Intact,Spayed,Austin (TX),Purebred,Single colour,50,11
A723909,2016-04-08 16:47:00,11940 Jollyville Rd in Austin (TX),Wildlife,Sick,Opossum,Unknown,1827,Opossum Mix,Gray,2016-04-10 18:19:00,2011-04-08 00:00:00,Unknown,1829,1.0,Unknown,Unknown,Austin (TX),Mixed,Single colour,2,4
A770601,2018-04-22 13:28:00,900 Thompson Street in Austin (TX),Stray,Nursing,Cat,Female,0,Domestic Shorthair Mix,Blue Tabby,2018-12-18 07:33:00,2018-04-22 00:00:00,Female,240,0.0,Intact,Spayed,Austin (TX),Mixed,Single colour,239,4
A715881,2015-11-11 17:54:00,Austin (TX),Owner Surrender,Normal,Cat,Female,730,Domestic Shorthair Mix,Tortie/White,2015-11-29 14:03:00,2013-11-11 00:00:00,Female,748,0.0,Intact,Spayed,Austin (TX),Mixed,Mixed Colour,17,11
A710120,2015-08-18 10:08:00,3536 Bee Cave Rd in Austin (TX),Stray,Normal,Cat,Unknown,730,Domestic Shorthair Mix,Black/White,2015-08-19 09:00:00,2013-08-18 00:00:00,Unknown,731,0.0,Unknown,Unknown,Austin (TX),Mixed,Mixed Colour,0,8
A741385,2017-01-01 11:52:00,2104 E Anderson Ln in Austin (TX),Stray,Aged,Dog,Male,4383,Labrador Retriever Mix,Chocolate,2017-01-01 14:33:00,2005-01-01 00:00:00,Male,4383,0.0,Neutered,Neutered,Austin (TX),Mixed,Single colour,0,1
A689400,2014-10-03 15:06:00,1109 Canon Yeoman Trl in Austin (TX),Stray,Normal,Dog,Male,2190,Beagle Mix,Tricolor,2014-10-05 17:46:00,2008-10-04 00:00:00,Male,2192,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,2,10
A684058,2014-07-18 18:39:00,8500 Bluff Springs in Austin (TX),Stray,Normal,Dog,Male,4380,Labrador Retriever Mix,Black/White,2014-07-21 11:36:00,2002-07-21 00:00:00,Male,4383,0.0,Neutered,Neutered,Austin (TX),Mixed,Mixed Colour,2,7
A798769,2019-06-30 12:57:00,5806 Encinal Cove in Austin (TX),Owner Surrender,Normal,Cat,Female,159,Domestic Shorthair,Tortie,2019-08-18 13:59:00,2019-01-22 00:00:00,Female,208,0.0,Intact,Spayed,Austin (TX),Purebred,Single colour,49,6
A681631,2014-06-19 02:53:00,1520 Rutherford Ln in Austin (TX),Public Assist,Normal,Dog,Male,76,Miniature Schnauzer,Gray,2014-06-21 19:04:00,2014-04-04 00:00:00,Male,78,0.0,Intact,Intact,Austin (TX),Purebred,Single colour,2,6
A741975,2017-01-12 14:39:00,5301 Ross Rd in Travis (TX),Stray,Normal,Dog,Male,731,Dachshund Mix,Brown/White,2017-01-13 14:08:00,2015-01-12 00:00:00,Male,732,0.0,Neutered,Neutered,Travis (TX),Mixed,Mixed Colour,0,1
A765834,2018-01-28 12:21:00,Cameron Road And Berkman Drive in Austin (TX),Stray,Normal,Dog,Female,306,Rat Terrier Mix,Tan/White,2018-02-04 16:49:00,2017-03-28 00:00:00,Female,313,0.0,Intact,Spayed,Austin (TX),Mixed,Mixed Colour,7,1
A705622,2015-06-19 17:06:00,Vallejo St And Hardy Dr in Austin (TX),Stray,Normal,Cat,Male,61,Siamese Mix,Flame Point,2015-06-23 17:25:00,2015-04-19 00:00:00,Male,65,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,4,6
A739968,2016-12-09 16:08:00,Pleasant Valley And Nuckols Crossing in Austin (TX),Stray,Normal,Cat,Male,30,Domestic Shorthair Mix,Black,2017-01-28 13:26:00,2016-11-09 00:00:00,Male,80,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,49,12
A749441,2017-05-15 10:58:00,Austin (TX),Owner Surrender,Normal,Cat,Female,731,Siamese Mix,Flame Point,2017-05-16 14:39:00,2015-05-15 00:00:00,Female,732,0.0,Intact,Intact,Austin (TX),Mixed,Single colour,1,5
A750390,2017-05-26 16:08:00,Sandshop in Austin (TX),Stray,Normal,Cat,Male,30,Domestic Shorthair Mix,Blue Tabby,2017-06-28 19:09:00,2017-04-26 00:00:00,Male,63,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,33,5
A695065,2015-01-08 13:52:00,8449 Nuckols Crossing in Austin (TX),Stray,Normal,Dog,Male,1096,Great Pyrenees Mix,White,2015-01-12 18:09:00,2012-01-08 00:00:00,Male,1100,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,4,1
A669405,2013-12-20 11:21:00,Burnet Rd And Hwy 183 in Austin (TX),Stray,Normal,Dog,Female,137,Collie Smooth/Jack Russell Terrier,Tricolor,2013-12-28 17:11:00,2013-08-05 00:00:00,Female,145,0.0,Intact,Spayed,Austin (TX),Purebred,Single colour,8,12
A734145,2016-09-02 09:08:00,Austin (TX),Owner Surrender,Normal,Dog,Female,336,Beagle/Pug,Brown/Black,2016-09-07 17:31:00,2015-10-02 00:00:00,Female,341,0.0,Intact,Spayed,Austin (TX),Purebred,Mixed Colour,5,9
A666946,2013-11-12 18:09:00,Austin (TX),Public Assist,Normal,Dog,Male,1464,Chihuahua Shorthair Mix,Tan/White,2013-11-20 11:33:00,2009-11-09 00:00:00,Male,1472,0.0,Intact,Intact,Austin (TX),Mixed,Mixed Colour,7,11
A800238,2019-07-18 13:16:00,2124 East 6Th Street in Austin (TX),Stray,Normal,Cat,Male,61,Domestic Shorthair,Black/White,2019-08-03 16:43:00,2019-05-18 00:00:00,Male,77,0.0,Intact,Neutered,Austin (TX),Purebred,Mixed Colour,16,7
A468181,2016-12-26 12:49:00,13013 Noche Clara in Del Valle (TX),Stray,Normal,Dog,Male,4088,Boxer/Pit Bull,Tan/White,2016-12-27 09:19:00,2005-10-17 00:00:00,Male,4089,0.0,Neutered,Neutered,Del Valle (TX),Purebred,Mixed Colour,0,12
A749587,2017-05-16 22:38:00,2902 Stratford in Austin (TX),Wildlife,Normal,Bat,Unknown,365,Bat Mix,Brown,2017-05-17 09:27:00,2016-05-16 00:00:00,Unknown,366,1.0,Unknown,Unknown,Austin (TX),Mixed,Single colour,0,5
A752376,2017-06-21 15:41:00,3520 Victorine in Travis (TX),Stray,Normal,Cat,Female,2192,Domestic Shorthair Mix,Brown Tabby,2017-08-17 18:53:00,2011-06-21 00:00:00,Female,2249,0.0,Spayed,Spayed,Travis (TX),Mixed,Single colour,57,6
A748523,2017-05-03 16:03:00,Loyola Ln And Manor Rd in Austin (TX),Stray,Normal,Dog,Male,365,Labrador Retriever Mix,Black/White,2017-05-25 18:43:00,2016-05-03 00:00:00,Male,387,0.0,Intact,Neutered,Austin (TX),Mixed,Mixed Colour,22,5
A801185,2019-08-01 11:14:00,3715 South First Street in Austin (TX),Stray,Normal,Dog,Male,730,Australian Shepherd/German Shepherd,Chocolate/White,2019-08-09 16:30:00,2017-08-01 00:00:00,Male,738,0.0,Intact,Neutered,Austin (TX),Purebred,Mixed Colour,8,8
A747362,2017-04-18 14:55:00,Austin (TX),Owner Surrender,Normal,Cat,Male,62,Domestic Shorthair Mix,Orange Tabby/White,2017-04-20 18:17:00,2017-02-15 00:00:00,Male,64,0.0,Intact,Neutered,Austin (TX),Mixed,Mixed Colour,2,4
A801699,2019-08-07 17:52:00,7010 Highway 71 in Austin (TX),Stray,Normal,Cat,Unknown,15,Domestic Shorthair,Brown Tabby,2019-08-08 11:32:00,2019-07-23 00:00:00,Unknown,16,0.0,Unknown,Unknown,Austin (TX),Purebred,Single colour,0,8
A690731,2014-10-25 07:50:00,Riverside & Ben White in Austin (TX),Stray,Normal,Cat,Male,61,Balinese Mix,Chocolate Point/White,2014-10-31 12:20:00,2014-08-25 00:00:00,Male,67,0.0,Intact,Intact,Austin (TX),Mixed,Mixed Colour,6,10
A743738,2017-02-15 16:27:00,1748 Ohlen Rd in Austin (TX),Stray,Normal,Dog,Female,123,Catahoula Mix,Tricolor,2017-02-16 12:21:00,2016-10-15 00:00:00,Female,124,0.0,Intact,Intact,Austin (TX),Mixed,Single colour,0,2
A707781,2015-07-17 15:57:00,13425 Coomes Dr in Del Valle (TX),Stray,Normal,Dog,Female,242,Chihuahua Shorthair/Jack Russell Terrier,Black/White,2015-07-17 19:17:00,2014-11-17 00:00:00,Female,242,0.0,Spayed,Spayed,Del Valle (TX),Purebred,Mixed Colour,0,7
A769636,2018-04-14 12:36:00,Austin (TX),Owner Surrender,Normal,Dog,Male,402,Labrador Retriever Mix,Black/White,2018-04-14 17:39:00,2017-03-08 00:00:00,Male,402,0.0,Neutered,Neutered,Austin (TX),Mixed,Mixed Colour,0,4
A782344,2018-10-13 16:05:00,Austin (TX),Owner Surrender,Normal,Dog,Male,365,Pit Bull Mix,Black/White,2019-10-09 12:07:00,2017-10-13 00:00:00,Male,726,0.0,Intact,Neutered,Austin (TX),Mixed,Mixed Colour,360,10
A689519,2014-10-19 13:34:00,Dessau/Braker in Austin (TX),Stray,Normal,Dog,Female,363,Shih Tzu,Black/White,2014-10-23 11:59:00,2013-10-21 00:00:00,Female,367,0.0,Intact,Intact,Austin (TX),Purebred,Mixed Colour,3,10
A677248,2014-04-22 08:10:00,Morado Circle And Jollyvile in Austin (TX),Wildlife,Injured,Opossum,Female,1096,Opossum Mix,Gray,2014-04-22 08:15:00,2011-04-22 00:00:00,Female,1096,0.0,Intact,Intact,Austin (TX),Mixed,Single colour,0,4
A727043,2016-05-17 15:46:00,9515 N Lamar Blvd in Austin (TX),Stray,Normal,Cat,Male,366,Domestic Shorthair Mix,Blue/White,2016-06-14 13:32:00,2015-05-17 00:00:00,Male,394,0.0,Intact,Neutered,Austin (TX),Mixed,Mixed Colour,27,5
A774440,2018-06-15 13:32:00,8809 Fm 812 in Austin (TX),Stray,Normal,Cat,Male,76,Domestic Shorthair Mix,Brown Tabby,2018-07-29 18:49:00,2018-03-31 00:00:00,Male,120,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,44,6
A688636,2014-09-21 16:53:00,1211 Bonnie Brae B in Austin (TX),Stray,Normal,Dog,Male,1096,Chihuahua Shorthair Mix,Black,2014-10-09 17:58:00,2011-09-21 00:00:00,Male,1114,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,18,9
A700151,2015-04-08 17:09:00,402 Chippendale in Austin (TX),Stray,Normal,Dog,Female,730,Pit Bull Mix,White,2015-04-15 16:01:00,2013-04-08 00:00:00,Female,737,0.0,Spayed,Spayed,Austin (TX),Mixed,Single colour,6,4
A681031,2014-06-11 13:53:00,Austin (TX),Owner Surrender,Normal,Cat,Female,151,Domestic Shorthair Mix,Torbie/White,2014-06-17 14:41:00,2014-01-11 00:00:00,Female,157,0.0,Intact,Spayed,Austin (TX),Mixed,Mixed Colour,6,6
A768622,2018-03-22 16:51:00,Deer Track And Maverick Drive in Austin (TX),Stray,Normal,Dog,Male,365,Labrador Retriever Mix,Brown,2018-04-03 14:28:00,2017-03-22 00:00:00,Male,377,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,11,3
A768672,2018-03-23 12:56:00,6808 Wentworth Dr. B in Austin (TX),Stray,Normal,Dog,Male,365,Cairn Terrier Mix,Buff,2018-03-28 15:48:00,2017-03-23 00:00:00,Male,370,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,5,3
A686675,2014-11-02 18:46:00,Austin (TX),Owner Surrender,Normal,Dog,Male,434,Pit Bull Mix,Tan/White,2014-11-14 16:24:00,2013-08-25 00:00:00,Male,446,0.0,Neutered,Neutered,Austin (TX),Mixed,Mixed Colour,11,11
A738645,2016-11-18 18:40:00,705 West Crestland Dr in Austin (TX),Stray,Normal,Cat,Female,2909,Domestic Shorthair Mix,Blue Tabby,2016-12-04 12:08:00,2008-12-01 00:00:00,Female,2925,0.0,Spayed,Spayed,Austin (TX),Mixed,Single colour,15,11
A803663,2019-09-04 12:49:00,12151 N Ih 35 Hwy 1016 in Austin (TX),Stray,Normal,Ferret,Male,730,Ferret,Brown/Cream,2019-09-08 14:28:00,2017-09-04 00:00:00,Male,734,0.0,Neutered,Neutered,Austin (TX),Purebred,Mixed Colour,4,9
A777075,2018-10-01 13:45:00,Cedar Park (TX),Owner Surrender,Normal,Dog,Female,1531,Labrador Retriever Mix,Black,2018-10-08 16:25:00,2014-07-23 00:00:00,Female,1538,0.0,Spayed,Spayed,Cedar Park (TX),Mixed,Single colour,7,10
A755620,2017-08-06 11:29:00,Austin (TX),Owner Surrender,Normal,Dog,Female,2192,Labrador Retriever/Pit Bull,Black/White,2017-11-21 13:59:00,2011-08-06 00:00:00,Female,2299,0.0,Spayed,Spayed,Austin (TX),Purebred,Mixed Colour,107,8
A808815,2019-11-14 09:53:00,Manor (TX),Stray,Nursing,Dog,Unknown,0,Cairn Terrier Mix,Tan,2019-11-14 18:29:00,2019-11-14 00:00:00,Unknown,0,0.0,Unknown,Unknown,Manor (TX),Mixed,Single colour,0,11
A804237,2019-09-12 10:27:00,2206 Blue Meadow Drive in Austin (TX),Stray,Normal,Dog,Female,1461,Shih Tzu,White,2019-09-16 12:55:00,2015-09-12 00:00:00,Female,1465,0.0,Intact,Intact,Austin (TX),Purebred,Single colour,4,9
A781202,2018-09-25 16:10:00,Manor (TX),Owner Surrender,Normal,Dog,Female,1280,Mastiff,Tan,2018-10-12 17:01:00,2015-03-25 00:00:00,Female,1297,0.0,Intact,Intact,Manor (TX),Purebred,Single colour,17,9
A751217,2017-06-05 12:54:00,Glenhollow Path And Flournoy Dr in Austin (TX),Stray,Normal,Dog,Male,2922,Boston Terrier Mix,Black/White,2017-06-06 12:07:00,2009-06-05 00:00:00,Male,2923,0.0,Neutered,Neutered,Austin (TX),Mixed,Mixed Colour,0,6
A697079,2015-02-17 16:05:00,2100 Polaris Rd in Austin (TX),Public Assist,Normal,Dog,Male,730,Pit Bull Mix,Black/White,2015-03-03 11:02:00,2013-02-17 00:00:00,Male,744,0.0,Intact,Intact,Austin (TX),Mixed,Mixed Colour,13,2
A756114,2017-08-14 15:07:00,10710 Beach Road in Leander (TX),Stray,Normal,Dog,Female,53,Labrador Retriever Mix,Black/White,2017-08-17 17:09:00,2017-06-22 00:00:00,Female,56,1.0,Intact,Intact,Leander (TX),Mixed,Mixed Colour,3,8
